iter	Passed	Remaining
276	3794	9904
277	3809	9893
278	3822	9877
279	3835	9861
280	3848	9847
281	3862	9834
282	3876	9820
283	3890	9807
284	3904	9795
285	3918	9781
286	3931	9766
287	3943	9749
288	3957	9737
289	3971	9724
290	3985	9711
291	3998	9694
292	4013	9683
293	4026	9669
294	4040	9655
295	4053	9639
296	4065	9623
297	4078	9608
298	4091	9591
299	4103	9575
300	4118	9564
301	4131	9548
302	4144	9533
303	4158	9521
304	4173	9509
305	4187	9496
306	4200	9482
307	4213	9465
308	4226	9452
309	4239	9437
310	4253	9422
311	4267	9410
312	4282	9399
313	4296	9387
314	4309	9370
315	4323	9357
316	4337	9346
317	4350	9330
318	4362	9313
319	4375	9298
320	4389	9285
321	4404	9273
322	4419	9262
323	4431	9246
324	4445	9231
325	4457	9216
326	4471	9202
327	4486	9191
328	4498	9174
329	4514	9165
330	4526	9149
331	4539	9133
332	4551	9117
333	4566	9105
334	4579	9091
335	4594	9079
336	4607	9063
337	4619	9047
338	4633	9035
339	4646	9019
340	4659	9005
341	4674	8993
342	4687	8977
343	4699	8961
344	4713	8948
345	4726	8934
346	4740	8920
347	4753	8905
348	4766	8890
349	4779	8876
350	4794	8865
351	4807	8850
352	4821	8838
353	4836	8825
354	4852	8816
355	4867	8804
356	4880	8789
357	4893	8775
358	4906	8759
359	4919	8745
360	4934	8734
361	4946	8718
362	4959	8703
363	4973	8690
364	4986	8675
365	4999	8661
366	5012	8645
367	5026	8632
368	5039	8618
369	5054	8607
370	5069	8594
371	5082	8580
372	5097	8569
373	5110	8553
374	5124	8540
375	5138	8527
376	5152	8513
377	5164	8498
378	5177	8483
379	5190	8469
380	5203	8454
381	5217	8441
382	5230	8425
383	5243	8410
384	5257	8398
385	5270	8383
386	5282	8367
387	5296	8353
388	5308	8337
389	5321	8323
390	5334	8308
391	5348	8295
392	5360	8279
393	5375	8268
394	5389	8254
395	5402	8239
396	5417	8228
397	5432	8216
398	5445	8202
399	5459	8189
400	5472	8174
401	5485	8159
402	5498	8145
403	5512	8132
404	5526	8119
405	5539	8104
406	5553	8090
